epoch,step,train_loss_epoch,train_loss_step,val_loss
0,0,,5.642040729522705,
0,1,,4.477697372436523,
0,2,,3.783233165740967,
0,3,,3.8421335220336914,
0,4,,3.798497438430786,
0,5,,3.773977756500244,
0,6,,3.740607500076294,
0,6,,,3.9930291175842285
0,6,4.200437545776367,,
1,7,,3.668269157409668,
1,8,,3.671841859817505,
1,9,,3.5755348205566406,
1,10,,3.6082093715667725,
1,11,,3.576547861099243,
1,12,,3.626866340637207,
1,13,,3.765641212463379,
1,13,,,3.636195182800293
1,13,3.626988410949707,,
2,14,,3.667206287384033,
2,15,,3.5248115062713623,
2,16,,3.5642521381378174,
2,17,,3.5449838638305664,
2,18,,3.6696934700012207,
2,19,,3.5388426780700684,
2,20,,3.5833287239074707,
2,20,,,3.591487169265747
2,20,3.584899663925171,,
3,21,,3.5753579139709473,
3,22,,3.532799482345581,
3,23,,3.542989730834961,
3,24,,3.6081297397613525,
3,25,,3.4426374435424805,
3,26,,3.6919891834259033,
3,27,,3.47005558013916,
3,27,,,3.577256441116333
3,27,3.561826705932617,,
4,28,,3.5800676345825195,
4,29,,3.5612950325012207,
4,30,,3.468235492706299,
4,31,,3.497832775115967,
4,32,,3.521775245666504,
4,33,,3.5993010997772217,
4,34,,3.4961955547332764,
4,34,,,3.5514028072357178
4,34,3.5364089012145996,,
5,35,,3.4586567878723145,
5,36,,3.5236778259277344,
5,37,,3.5140371322631836,
5,38,,3.4171054363250732,
5,39,,3.5201516151428223,
5,40,,3.5067710876464844,
5,41,,3.609018087387085,
5,41,,,3.5328893661499023
5,41,3.4948248863220215,,
6,42,,3.509963274002075,
6,43,,3.4160079956054688,
6,44,,3.3761954307556152,
6,45,,3.494731903076172,
6,46,,3.582402229309082,
6,47,,3.4816954135894775,
6,48,,3.522830009460449,
6,48,,,3.500429391860962
6,48,3.4786722660064697,,
7,49,,3.496452569961548,
7,50,,3.490687131881714,
7,51,,3.4892842769622803,
7,52,,3.3820223808288574,
7,53,,3.4711899757385254,
7,54,,3.43351674079895,
7,55,,3.350471019744873,
7,55,,,3.450888156890869
7,55,3.4561233520507812,,
8,56,,3.4478189945220947,
8,57,,3.4484548568725586,
8,58,,3.2756104469299316,
8,59,,3.401606798171997,
8,60,,3.466322422027588,
8,61,,3.45355224609375,
8,62,,3.7294888496398926,
8,62,,,3.420780658721924
8,62,3.4281182289123535,,
9,63,,3.473214626312256,
9,64,,3.4425573348999023,
9,65,,3.387530565261841,
9,66,,3.4306423664093018,
9,67,,3.432878255844116,
9,68,,3.3230605125427246,
9,69,,3.3569178581237793,
9,69,,,3.3882694244384766
9,69,3.4126579761505127,,
10,70,,3.3910303115844727,
10,71,,3.37176513671875,
10,72,,3.3329198360443115,
10,73,,3.3048510551452637,
10,74,,3.5701582431793213,
10,75,,3.316385269165039,
10,76,,3.383286952972412,
10,76,,,3.356879472732544
10,76,3.3812689781188965,,
11,77,,3.3729801177978516,
11,78,,3.3973677158355713,
11,79,,3.432955741882324,
11,80,,3.370466947555542,
11,81,,3.447342872619629,
11,82,,3.218374729156494,
11,83,,3.3410820960998535,
11,83,,,3.338728427886963
11,83,3.3719613552093506,,
12,84,,3.3075430393218994,
12,85,,3.271909236907959,
12,86,,3.3365583419799805,
12,87,,3.38379168510437,
12,88,,3.4162018299102783,
12,89,,3.3468680381774902,
12,90,,3.5832626819610596,
12,90,,,3.316838264465332
12,90,3.3533902168273926,,
13,91,,3.2909677028656006,
13,92,,3.3562610149383545,
13,93,,3.387038469314575,
13,94,,3.390345335006714,
13,95,,3.3259408473968506,
13,96,,3.2180166244506836,
13,97,,3.487781524658203,
13,97,,,3.3058643341064453
13,97,3.334482431411743,,
14,98,,3.472527027130127,
14,99,,3.2745721340179443,
14,100,,3.3344836235046387,
14,101,,3.3414525985717773,
14,102,,3.307868480682373,
14,103,,3.2339632511138916,
14,104,,3.3380467891693115,
14,104,,,3.294062614440918
14,104,3.3279004096984863,,
15,105,,3.2509937286376953,
15,106,,3.221498489379883,
15,107,,3.3943262100219727,
15,108,,3.250166654586792,
15,109,,3.2686588764190674,
15,110,,3.4099879264831543,
15,111,,3.431056022644043,
15,111,,,3.2712485790252686
15,111,3.3045434951782227,,
16,112,,3.32952880859375,
16,113,,3.3439292907714844,
16,114,,3.295530319213867,
16,115,,3.260819435119629,
16,116,,3.4439632892608643,
16,117,,3.1645007133483887,
16,118,,3.281315326690674,
16,118,,,3.2716808319091797
16,118,3.3053762912750244,,
17,119,,3.3329429626464844,
17,120,,3.265211582183838,
17,121,,3.371154308319092,
17,122,,3.194211006164551,
17,123,,3.1555633544921875,
17,124,,3.5003364086151123,
17,125,,3.0966968536376953,
17,125,,,3.257511854171753
17,125,3.2949750423431396,,
18,126,,3.2914509773254395,
18,127,,3.3812456130981445,
18,128,,3.215320587158203,
18,129,,3.2138819694519043,
18,130,,3.2503859996795654,
18,131,,3.2867166996002197,
18,132,,3.371978759765625,
18,132,,,3.2512993812561035
18,132,3.2771193981170654,,
19,133,,3.3138740062713623,
19,134,,3.246880531311035,
19,135,,3.261174201965332,
19,136,,3.3171815872192383,
19,137,,3.288800001144409,
19,138,,3.223294973373413,
19,139,,3.3682610988616943,
19,139,,,3.2392425537109375
19,139,3.278923273086548,,
20,140,,3.1786625385284424,
20,141,,3.2566988468170166,
20,142,,3.1569771766662598,
20,143,,3.343327760696411,
20,144,,3.3161561489105225,
20,145,,3.2909584045410156,
20,146,,3.5707828998565674,
20,146,,,3.234248161315918
20,146,3.2696762084960938,,
21,147,,3.207317590713501,
21,148,,3.283956289291382,
21,149,,3.259748935699463,
21,150,,3.280364990234375,
21,151,,3.314805030822754,
21,152,,3.236110210418701,
21,153,,3.1495847702026367,
21,153,,,3.2368712425231934
21,153,3.2591516971588135,,
22,154,,3.2496936321258545,
22,155,,3.177210807800293,
22,156,,3.240461587905884,
22,157,,3.229764699935913,
22,158,,3.2206838130950928,
22,159,,3.278878688812256,
22,160,,3.782128095626831,
22,160,,,3.2257065773010254
22,160,3.254756212234497,,
23,161,,3.239360809326172,
23,162,,3.399301052093506,
23,163,,3.3469648361206055,
23,164,,3.1472079753875732,
23,165,,3.2455437183380127,
23,166,,3.1527962684631348,
23,167,,3.1627140045166016,
23,167,,,3.2204418182373047
23,167,3.2514963150024414,,
24,168,,3.135517120361328,
24,169,,3.147533416748047,
24,170,,3.2796661853790283,
24,171,,3.3232457637786865,
24,172,,3.332385301589966,
24,173,,3.24696946144104,
24,174,,3.2013349533081055,
24,174,,,3.2139852046966553
24,174,3.2425038814544678,,
25,175,,3.1679840087890625,
25,176,,3.3015341758728027,
25,177,,3.3554847240448,
25,178,,3.207268238067627,
25,179,,3.2308688163757324,
25,180,,3.2264983654022217,
25,181,,3.089550018310547,
25,181,,,3.209270715713501
25,181,3.2419238090515137,,
26,182,,3.162853717803955,
26,183,,3.158167600631714,
26,184,,3.2693185806274414,
26,185,,3.291288137435913,
26,186,,3.2968313694000244,
26,187,,3.1760289669036865,
26,188,,3.5423641204833984,
26,188,,,3.2048521041870117
26,188,3.238412857055664,,
27,189,,3.166633129119873,
27,190,,3.253328323364258,
27,191,,3.286294460296631,
27,192,,3.070704936981201,
27,193,,3.2420122623443604,
27,194,,3.3909456729888916,
27,195,,3.22279953956604,
27,195,,,3.203091621398926
27,195,3.234498977661133,,
28,196,,3.1700360774993896,
28,197,,3.080449342727661,
28,198,,3.3178365230560303,
28,199,,3.272042751312256,
28,200,,3.194754123687744,
28,201,,3.3397536277770996,
28,202,,3.237806558609009,
28,202,,,3.201702833175659
28,202,3.229491949081421,,
29,203,,3.204726457595825,
29,204,,3.2676851749420166,
29,205,,3.244983434677124,
29,206,,3.2930731773376465,
29,207,,3.1455278396606445,
29,208,,3.2001256942749023,
29,209,,3.345421314239502,
29,209,,,3.1996490955352783
29,209,3.2307960987091064,,
30,210,,3.2020087242126465,
30,211,,3.206531524658203,
30,212,,3.2084498405456543,
30,213,,3.262200355529785,
30,214,,3.1771297454833984,
30,215,,3.2961912155151367,
30,216,,3.212991237640381,
30,216,,,3.198822021484375
30,216,3.224921464920044,,
31,217,,3.2202911376953125,
31,218,,3.2290167808532715,
31,219,,3.1876142024993896,
31,220,,3.251328468322754,
31,221,,3.168511390686035,
31,222,,3.2716784477233887,
31,223,,3.3636512756347656,
31,223,,,3.1969680786132812
31,223,3.2270965576171875,,
32,224,,3.0920655727386475,
32,225,,3.301321506500244,
32,226,,3.2032101154327393,
32,227,,3.235757350921631,
32,228,,3.360600709915161,
32,229,,3.116450309753418,
32,230,,3.4883766174316406,
32,230,,,3.1930124759674072
32,230,3.2290399074554443,,
33,231,,3.195467948913574,
33,232,,3.263770818710327,
33,233,,3.2533512115478516,
33,234,,3.136789560317993,
33,235,,3.170602798461914,
33,236,,3.3355813026428223,
33,237,,3.2916672229766846,
33,237,,,3.1946890354156494
33,237,3.2285566329956055,,
34,238,,3.1979751586914062,
34,239,,3.310147285461426,
34,240,,3.1416592597961426,
34,241,,3.286389112472534,
34,242,,3.190659999847412,
34,243,,3.2683753967285156,
34,244,,3.227020740509033,
34,244,,,3.193859338760376
34,244,3.232313871383667,,
35,245,,3.239894390106201,
35,246,,3.1396067142486572,
35,247,,3.2278060913085938,
35,248,,3.30342173576355,
35,249,,3.2699451446533203,
35,250,,3.1119112968444824,
35,251,,3.2665836811065674,
35,251,,,3.1897993087768555
35,251,3.217477321624756,,
36,252,,3.3421571254730225,
36,253,,3.2059199810028076,
36,254,,3.187345027923584,
36,255,,3.3372435569763184,
36,256,,3.170957565307617,
36,257,,3.1791625022888184,
36,258,,3.119882583618164,
36,258,,,3.187696933746338
36,258,3.2324411869049072,,
37,259,,3.258754253387451,
37,260,,3.1325387954711914,
37,261,,3.1724472045898438,
37,262,,3.3061184883117676,
37,263,,3.1789915561676025,
37,264,,3.2597031593322754,
37,265,,3.2270188331604004,
37,265,,,3.186589241027832
37,265,3.218449115753174,,
38,266,,3.1270127296447754,
38,267,,3.2670297622680664,
38,268,,3.1240432262420654,
38,269,,3.154503583908081,
38,270,,3.2183032035827637,
38,271,,3.3476572036743164,
38,272,,3.2944631576538086,
38,272,,,3.1887335777282715
38,272,3.209946393966675,,
39,273,,3.329501152038574,
39,274,,3.3539879322052,
39,275,,3.0812273025512695,
39,276,,3.170762777328491,
39,277,,3.157284736633301,
39,278,,3.1961536407470703,
39,279,,3.27854061126709,
39,279,,,3.1878879070281982
39,279,3.2173683643341064,,
40,280,,3.2600364685058594,
40,281,,3.0617947578430176,
40,282,,3.2122716903686523,
40,283,,3.2123160362243652,
40,284,,3.306549549102783,
40,285,,3.2225663661956787,
40,286,,3.475043535232544,
40,286,,,3.189019203186035
40,286,3.2230875492095947,,
41,287,,3.24900484085083,
41,288,,3.241957426071167,
41,289,,3.1867260932922363,
41,290,,3.099433660507202,
41,291,,3.295313835144043,
41,292,,3.252056837081909,
41,293,,3.2174222469329834,
41,293,,,3.1888184547424316
41,293,3.220615863800049,,
42,294,,3.1945600509643555,
42,295,,3.1619341373443604,
42,296,,3.224487066268921,
42,297,,3.2887215614318848,
42,298,,3.2352967262268066,
42,299,,3.202058792114258,
42,300,,3.23020076751709,
42,300,,,3.188971757888794
42,300,3.218337297439575,,
43,301,,3.3588309288024902,
43,302,,3.091958999633789,
43,303,,3.212393283843994,
43,304,,3.330127239227295,
43,305,,3.206922769546509,
43,306,,3.085676908493042,
43,307,,3.185617446899414,
43,307,,,3.1882948875427246
43,307,3.213170051574707,,
44,308,,3.20233154296875,
44,309,,3.2090556621551514,
44,310,,3.2125625610351562,
44,311,,3.2415807247161865,
44,312,,3.1828699111938477,
44,313,,3.191096544265747,
44,314,,3.384479522705078,
44,314,,,3.1837358474731445
44,314,3.213698625564575,,
45,315,,3.2338814735412598,
45,316,,3.1713767051696777,
45,317,,3.235713005065918,
45,318,,3.128246784210205,
45,319,,3.1985714435577393,
45,320,,3.328639268875122,
45,321,,3.0372395515441895,
45,321,,,3.1873462200164795
45,321,3.2089180946350098,,
46,322,,3.115077018737793,
46,323,,3.289024591445923,
46,324,,3.119530439376831,
46,325,,3.2347617149353027,
46,326,,3.184328556060791,
46,327,,3.3411130905151367,
46,328,,3.320693016052246,
46,328,,,3.1864986419677734
46,328,3.2182416915893555,,
47,329,,3.194145917892456,
47,330,,3.16617488861084,
47,331,,3.1664469242095947,
47,332,,3.168221950531006,
47,333,,3.3108911514282227,
47,334,,3.3198390007019043,
47,335,,3.2841410636901855,
47,335,,,3.184751272201538
47,335,3.2234811782836914,,
48,336,,3.1718056201934814,
48,337,,3.1648144721984863,
48,338,,3.307384967803955,
48,339,,3.227722406387329,
48,340,,3.2380261421203613,
48,341,,3.1368796825408936,
48,342,,3.475403308868408,
48,342,,,3.1861441135406494
48,342,3.218477249145508,,
49,343,,3.1027615070343018,
49,344,,3.242300033569336,
49,345,,3.2747533321380615,
49,346,,3.2801337242126465,
49,347,,3.2483646869659424,
49,348,,3.1999595165252686,
49,349,,2.9052698612213135,
49,349,,,3.1891274452209473
49,349,3.2119345664978027,,
